2022-01-21 19:22:28,160 CRITICAL config_server_log.py Критическая ошибка
2022-01-21 19:22:28,160 ERROR    config_server_log.py Ошибка
2022-01-26 13:32:28,239 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643193148.239235, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
2022-01-26 13:32:28,239 DEBUG    server.py Отправлен ответ клиенту: {'response': 400, 'error': 'Wrong action, try again'}
2022-01-26 13:34:08,107 INFO     server.py Запущен сервер с параметрами адресс: , порт: 7777
2022-01-26 13:34:11,115 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643193251.115119, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
2022-01-26 13:34:11,115 DEBUG    server.py Отправлен ответ клиенту: {'response': 400, 'error': 'Wrong action, try again'}
2022-01-26 13:34:35,786 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643193275.78653, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
2022-01-26 13:34:35,787 DEBUG    server.py Отправлен ответ клиенту: {'response': 400, 'error': 'Wrong action, try again'}
2022-01-26 13:36:41,912 INFO     server.py Запущен сервер с параметрами адресс: 127.0.0.1, порт: 7777
2022-01-26 13:36:48,263 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643193408.262107, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
2022-01-26 13:36:48,263 DEBUG    server.py Отправлен ответ клиенту: {'response': 400, 'error': 'Wrong action, try again'}
2022-01-26 13:43:06,992 INFO     server.py Запущен сервер с параметрами адресс: , порт: 7777
2022-01-26 13:43:14,528 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643193794.5282, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
2022-01-26 13:43:14,529 DEBUG    server.py Отправлен ответ клиенту: {'response': 400, 'error': 'Wrong action, try again'}
2022-01-26 13:43:39,281 INFO     server.py Запущен сервер с параметрами адресс: 127.0.0.1, порт: 7777
2022-01-26 13:43:45,376 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643193825.375965, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
2022-01-26 13:43:45,376 DEBUG    server.py Отправлен ответ клиенту: {'response': 400, 'error': 'Wrong action, try again'}
2022-01-26 13:45:14,222 INFO     server.py Запущен сервер с параметрами адресс: 127.0.0.1, порт: 7777
2022-01-26 13:45:18,744 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643193918.743305, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
2022-01-26 13:48:29,547 INFO     server.py Запущен сервер с параметрами адресс: 127.0.0.1, порт: 7777
2022-01-26 13:48:33,772 DEBUG    server.py Получено сообщение от клиента: {'action': 'error', 'time': 1643194113.77246, 'type': 'status', 'user': 'client', 'text': {'status': 'Error!'}}
